timestamp_ns,q0,q1,q2,q3,q4,q5,q_ref0,q_ref1,q_ref2,q_ref3,q_ref4,q_ref5,qd0,qd1,qd2,qd3,qd4,qd5,tau0,tau1,tau2,tau3,tau4,tau5,tcp_x,tcp_y,tcp_z,ctrl_mode
576745457551677,-9.336877,-0.009854,7.291762,3.053121,-1.569181,0.000002,-9.337248,-0.007601,7.288973,3.053264,-1.569228,-0.000292,-0.002377,0.034863,0.000000,-0.000000,-0.000000,0.000000,-0.911106,1.662099,-15.749903,-4.452461,2.191094,-0.000824,0.420248,-0.162665,0.761806,4
576745458550253,-9.336878,-0.009816,7.291760,3.053123,-1.569181,0.000003,-9.337263,-0.007486,7.288854,3.053272,-1.569230,-0.000304,-0.000000,0.038825,0.000000,-0.000000,-0.000000,0.000000,-1.140338,0.736740,-16.039740,-4.566694,2.177024,-0.000704,0.420266,-0.162663,0.761791,4
576745459551671,-9.336876,-0.009780,7.291763,3.053119,-1.569180,0.000001,-9.337278,-0.007370,7.288735,3.053280,-1.569232,-0.000317,-0.000000,0.034863,0.000000,-0.002848,-0.000000,0.000000,-1.112353,1.935429,-15.718498,-4.464774,2.193817,-0.000722,0.420283,-0.162662,0.761776,4
576745460550803,-9.336878,-0.009738,7.291762,3.053120,-1.569179,0.000002,-9.337293,-0.007255,7.288617,3.053288,-1.569234,-0.000330,-0.000000,0.040410,0.000000,-0.000000,-0.000000,0.000000,-1.170827,0.588291,-16.128034,-4.592876,2.181685,-0.000691,0.420302,-0.162660,0.761760,4
576745461553228,-9.336878,-0.009701,7.291760,3.053121,-1.569176,0.000003,-9.337308,-0.007139,7.288498,3.053297,-1.569236,-0.000343,-0.000000,0.037240,0.000000,-0.000000,0.002848,0.000000,-1.158010,1.553645,-15.874780,-4.518637,2.193211,-0.000705,0.420320,-0.162659,0.761746,4
576745462551124,-9.336878,-0.009663,7.291763,3.053121,-1.569178,0.000001,-9.337323,-0.007023,7.288379,3.053305,-1.569238,-0.000356,-0.000000,0.038033,0.002377,-0.000000,-0.000000,0.000000,-1.177969,1.365806,-15.999632,-4.551851,2.204247,-0.000697,0.420337,-0.162658,0.761729,4
576745463554898,-9.336878,-0.009617,7.291762,3.053122,-1.569176,0.000002,-9.337338,-0.006908,7.288260,3.053313,-1.569241,-0.000369,-0.000000,0.045956,0.000000,-0.000000,-0.000000,0.000000,-1.239847,-0.476664,-16.498155,-4.702650,2.178906,-0.000653,0.420358,-0.162655,0.761711,4
576745464543594,-9.336878,-0.009573,7.291762,3.053122,-1.569171,0.000001,-9.337353,-0.006792,7.288141,3.053321,-1.569243,-0.000382,-0.000000,0.043579,0.000000,-0.000000,0.004746,0.000000,-1.235043,0.260951,-16.307507,-4.647527,2.185991,-0.000661,0.420379,-0.162654,0.761694,4
576745465543820,-9.336877,-0.009527,7.291763,3.053122,-1.569170,0.000000,-9.337368,-0.006677,7.288022,3.053329,-1.569245,-0.000394,-0.000000,0.045956,0.000000,-0.000000,-0.000000,0.000000,-1.261504,-0.245077,-16.479278,-4.697387,2.187868,-0.000647,0.420401,-0.162651,0.761675,4
576745466543489,-9.336877,-0.009479,7.291763,3.053126,-1.569167,0.000002,-9.337383,-0.006561,7.287903,3.053337,-1.569248,-0.000407,-0.000000,0.048333,0.000000,0.003797,0.002848,0.000000,-1.303917,-0.791581,-16.662092,-4.761667,2.182308,-0.000630,0.420424,-0.162648,0.761655,4
576745467546202,-9.336877,-0.009432,7.291767,3.053131,-1.569165,0.000002,-9.337398,-0.006446,7.287784,3.053345,-1.569250,-0.000420,-0.000000,0.048333,0.003169,0.004746,0.002848,0.000000,-1.326093,-0.846484,-16.763574,-4.790152,2.194599,-0.000624,0.420447,-0.162645,0.761634,4
576745468504206,-9.336875,-0.009383,7.291768,3.053132,-1.569164,0.000003,-9.337413,-0.006330,7.287665,3.053353,-1.569253,-0.000433,-0.000000,0.049125,0.000000,-0.000000,-0.000000,0.000000,-1.318189,-0.757573,-16.695494,-4.762010,2.191588,-0.000620,0.420470,-0.162642,0.761614,4
576745469552859,-9.336874,-0.009331,7.291769,3.053133,-1.569161,0.000004,-9.337428,-0.006215,7.287545,3.053361,-1.569255,-0.000446,-0.000000,0.051502,0.000000,-0.000000,-0.000000,0.000000,-1.347845,-1.283379,-16.867580,-4.813302,2.188651,-0.000603,0.420495,-0.162639,0.761592,4
576745470549935,-9.336875,-0.009280,7.291772,3.053140,-1.569157,0.000003,-9.337443,-0.006099,7.287426,3.053370,-1.569258,-0.000459,-0.000000,0.051502,0.003169,0.006645,-0.000000,0.000000,-1.388343,-1.393744,-16.997083,-4.863723,2.200816,-0.000598,0.420519,-0.162636,0.761570,4
576745471540638,-9.336875,-0.009230,7.291774,3.053143,-1.569153,0.000004,-9.337458,-0.005984,7.287306,3.053378,-1.569261,-0.000472,-0.000000,0.053087,0.004754,0.005695,0.005695,0.000000,-1.414687,-1.783832,-17.152324,-4.907057,2.198734,-0.000582,0.420543,-0.162633,0.761549,4
576745472550596,-9.336875,-0.009175,7.291776,3.053147,-1.569151,0.000003,-9.337473,-0.005868,7.287187,3.053386,-1.569264,-0.000485,-0.000000,0.051502,0.003169,0.003797,-0.000000,0.000000,-1.400976,-1.188706,-16.980972,-4.852287,2.209431,-0.000591,0.420570,-0.162630,0.761525,4
576745473512647,-9.336878,-0.009120,7.291778,3.053152,-1.569147,0.000000,-9.337488,-0.005753,7.287067,3.053394,-1.569267,-0.000498,-0.002377,0.054672,0.002377,0.005695,0.004746,-0.002848,-1.248737,-1.887084,-17.180239,-4.889728,2.204382,-0.000650,0.420596,-0.162628,0.761501,4
